Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 35,55449.894844213944,54674.5011352628,52445.2157090374,55381.94862437306,54482.60722224695,52445.2157090374
Gen 36,55118.89474880514,54674.5011352628,52445.2157090374,55381.94862437306,54482.60722224695,52445.2157090374
Gen 37,55118.89474880514,52761.46773098404,52445.2157090374,55381.94862437306,54482.60722224695,52445.2157090374
Gen 38,54388.04656998356,52761.46773098404,52445.2157090374,55270.640572170596,54482.60722224695,52445.2157090374
Gen 39,54388.04656998356,52761.46773098404,52445.2157090374,55270.640572170596,52746.688820377974,52445.2157090374
Gen 40,54388.04656998356,52761.46773098404,52445.2157090374,54233.61453442945,52746.688820377974,52445.2157090374
Gen 41,53887.24926363837,52761.46773098404,52445.2157090374,54233.61453442945,52746.688820377974,52445.2157090374
Gen 42,53887.24926363837,52761.46773098404,52445.2157090374,54233.61453442945,52746.688820377974,52445.2157090374
Gen 43,53887.24926363837,52761.46773098404,52445.2157090374,54233.61453442945,52746.688820377974,52445.2157090374
Gen 44,53808.13109766855,52761.46773098404,52445.2157090374,54233.61453442945,52746.688820377974,52445.2157090374
Gen 45,53808.13109766855,52761.46773098404,52445.2157090374,52575.00475186804,52746.688820377974,52445.2157090374
Gen 46,53808.13109766855,52761.46773098404,52445.2157090374,52575.00475186804,52612.9653846689,52445.2157090374
Gen 47,53808.13109766855,52761.46773098404,52445.2157090374,52575.00475186804,52612.9653846689,52445.2157090374
Gen 48,53808.13109766855,52761.46773098404,52445.2157090374,52575.00475186804,52612.9653846689,52445.2157090374
Gen 49,53808.13109766855,51964.38184260828,52445.2157090374,52575.00475186804,52612.9653846689,51964.38184260828
Gen 50,53808.13109766855,51964.38184260828,52111.7730934983,52575.00475186804,52612.9653846689,51964.38184260828
Gen 51,53808.13109766855,51964.38184260828,52111.7730934983,52575.00475186804,52612.9653846689,51964.38184260828
Gen 52,53808.13109766855,51451.98732719603,52111.7730934983,52575.00475186804,52425.790446130544,51451.98732719603
Gen 53,53808.13109766855,51451.98732719603,50406.18330715529,52575.00475186804,52166.39344246253,50406.18330715529
Gen 54,53808.13109766855,50879.73264799769,50406.18330715529,52575.00475186804,52166.39344246253,50406.18330715529
Gen 55,53808.13109766855,50879.73264799769,50406.18330715529,52575.00475186804,52166.39344246253,50406.18330715529
Gen 56,53487.33377957976,50879.73264799769,50406.18330715529,52575.00475186804,52166.39344246253,50406.18330715529
Gen 57,53487.33377957976,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 58,53487.33377957976,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 59,52300.786163934914,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 60,52300.786163934914,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 61,52300.786163934914,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 62,52300.786163934914,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 63,52300.786163934914,50879.73264799769,50406.18330715529,52575.00475186804,51390.03993956395,50406.18330715529
Gen 64,52300.786163934914,49308.54036101485,49567.13072782219,52575.00475186804,51390.03993956395,49308.54036101485
Gen 65,52300.786163934914,49308.54036101485,49567.13072782219,52575.00475186804,51064.26763577443,49308.54036101485
Gen 66,52300.786163934914,49308.54036101485,49567.13072782219,52575.00475186804,51064.26763577443,49308.54036101485
Gen 67,52300.786163934914,49308.54036101485,49567.13072782219,52575.00475186804,51064.26763577443,49308.54036101485
Gen 68,51823.99904173999,49308.54036101485,49567.13072782219,51676.97447360997,51064.26763577443,49308.54036101485
Gen 69,51823.99904173999,49308.54036101485,49567.13072782219,51676.97447360997,51064.26763577443,49308.54036101485
Gen 70,51823.99904173999,49308.54036101485,49567.13072782219,51676.97447360997,51064.26763577443,49308.54036101485
Gen 71,51823.99904173999,49308.54036101485,49567.13072782219,51676.97447360997,51050.41800849439,49308.54036101485
Gen 72,51823.99904173999,48797.36081769944,49567.13072782219,51676.97447360997,51050.41800849439,48797.36081769944
Gen 73,51823.99904173999,48797.36081769944,49567.13072782219,51676.97447360997,51050.41800849439,48797.36081769944
Gen 74,51823.99904173999,48797.36081769944,49077.01407118481,51676.97447360997,51050.41800849439,48797.36081769944
Gen 75,51823.99904173999,48797.36081769944,47956.53851391166,51676.97447360997,51050.41800849439,47956.53851391166
Gen 76,51823.99904173999,48797.36081769944,47956.53851391166,51676.97447360997,49416.88553934471,47956.53851391166
Gen 77,51823.99904173999,48797.36081769944,47956.53851391166,51676.97447360997,49416.88553934471,47956.53851391166
Gen 78,51823.99904173999,48797.36081769944,47834.49995770007,51676.97447360997,49416.88553934471,47834.49995770007
Gen 79,51823.99904173999,48797.36081769944,47834.49995770007,51676.97447360997,49416.88553934471,47834.49995770007
Gen 80,51823.99904173999,48797.36081769944,47834.49995770007,51676.97447360997,49416.88553934471,47834.49995770007
Gen 81,51823.99904173999,48797.36081769944,47834.49995770007,51676.97447360997,49416.88553934471,47834.49995770007
Gen 82,51823.99904173999,48797.36081769944,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 83,51823.99904173999,48797.36081769944,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 84,51272.76198563178,48797.36081769944,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 85,51272.76198563178,48681.18028085413,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 86,51272.76198563178,48681.18028085413,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 87,51272.76198563178,47341.73391833211,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
